"DateTime","Positive reviews","Negative reviews"
"2016-09-16 00:00:00",285,-39
"2016-09-17 00:00:00",280,-50
"2016-09-18 00:00:00",303,-28
"2016-09-19 00:00:00",338,-31
"2016-09-20 00:00:00",257,-33
"2016-09-21 00:00:00",291,-42
"2016-09-22 00:00:00",220,-41
"2016-09-23 00:00:00",264,-24
"2016-09-24 00:00:00",276,-33
"2016-09-25 00:00:00",287,-62
"2016-09-26 00:00:00",305,-64
"2016-09-27 00:00:00",255,-47
"2016-09-28 00:00:00",241,-29
"2016-09-29 00:00:00",232,-30
"2016-09-30 00:00:00",262,-59
"2016-10-01 00:00:00",239,-45
"2016-10-02 00:00:00",308,-40
"2016-10-03 00:00:00",299,-59
"2016-10-04 00:00:00",294,-39
"2016-10-05 00:00:00",233,-46
"2016-10-06 00:00:00",279,-39
"2016-10-07 00:00:00",410,-73
"2016-10-08 00:00:00",382,-42
"2016-10-09 00:00:00",364,-56
"2016-10-10 00:00:00",331,-58
"2016-10-11 00:00:00",319,-37
"2016-10-12 00:00:00",334,-42
"2016-10-13 00:00:00",307,-70
"2016-10-14 00:00:00",311,-70
"2016-10-15 00:00:00",303,-64
"2016-10-16 00:00:00",351,-55
"2016-10-17 00:00:00",364,-62
"2016-10-18 00:00:00",268,-28
"2016-10-19 00:00:00",280,-47
"2016-10-20 00:00:00",244,-51
"2016-10-21 00:00:00",283,-54
"2016-10-22 00:00:00",261,-46
"2016-10-23 00:00:00",290,-52
"2016-10-24 00:00:00",306,-59
"2016-10-25 00:00:00",275,-53
"2016-10-26 00:00:00",287,-38
"2016-10-27 00:00:00",302,-37
"2016-10-28 00:00:00",263,-46
"2016-10-29 00:00:00",274,-51
"2016-10-30 00:00:00",399,-56
"2016-10-31 00:00:00",302,-47
"2016-11-01 00:00:00",306,-68
"2016-11-02 00:00:00",323,-41
"2016-11-03 00:00:00",283,-75
"2016-11-04 00:00:00",290,-65
"2016-11-05 00:00:00",356,-68
"2016-11-06 00:00:00",329,-48
"2016-11-07 00:00:00",324,-57
"2016-11-08 00:00:00",268,-43
"2016-11-09 00:00:00",291,-52
"2016-11-10 00:00:00",299,-45
"2016-11-11 00:00:00",352,-50
"2016-11-12 00:00:00",325,-47
"2016-11-13 00:00:00",302,-59
"2016-11-14 00:00:00",315,-58
"2016-11-15 00:00:00",263,-32
"2016-11-16 00:00:00",273,-46
"2016-11-17 00:00:00",290,-30
"2016-11-18 00:00:00",241,-43
"2016-11-19 00:00:00",314,-38
"2016-11-20 00:00:00",304,-57
"2016-11-21 00:00:00",313,-32
"2016-11-22 00:00:00",285,-37
"2016-11-23 00:00:00",303,-40
"2016-11-24 00:00:00",5114,-434
"2016-11-25 00:00:00",12670,-1060
"2016-11-26 00:00:00",6970,-539
"2016-11-27 00:00:00",5638,-452
"2016-11-28 00:00:00",4103,-331
"2016-11-29 00:00:00",3222,-224
"2016-11-30 00:00:00",2332,-204
"2016-12-01 00:00:00",340,-68
"2016-12-02 00:00:00",338,-43
"2016-12-03 00:00:00",308,-48
"2016-12-04 00:00:00",348,-58
"2016-12-05 00:00:00",324,-46
"2016-12-06 00:00:00",296,-53
"2016-12-07 00:00:00",270,-22
"2016-12-08 00:00:00",263,-27
"2016-12-09 00:00:00",256,-46
"2016-12-10 00:00:00",291,-44
"2016-12-11 00:00:00",247,-44
"2016-12-12 00:00:00",342,-128
"2016-12-13 00:00:00",548,-192
"2016-12-14 00:00:00",258,-1304
"2016-12-15 00:00:00",343,-715
"2016-12-16 00:00:00",232,-473
"2016-12-17 00:00:00",250,-338
"2016-12-18 00:00:00",257,-318
"2016-12-19 00:00:00",260,-218
"2016-12-20 00:00:00",289,-150
"2016-12-21 00:00:00",345,-307
"2016-12-22 00:00:00",519,-519
"2016-12-23 00:00:00",385,-132
"2016-12-24 00:00:00",635,-140
"2016-12-25 00:00:00",672,-135
"2016-12-26 00:00:00",535,-119
"2016-12-27 00:00:00",569,-133
"2016-12-28 00:00:00",539,-111
"2016-12-29 00:00:00",562,-136
"2016-12-30 00:00:00",490,-95
"2016-12-31 00:00:00",463,-121
"2017-01-01 00:00:00",,
"2017-01-02 00:00:00",1049,-210
"2017-01-03 00:00:00",419,-126
"2017-01-04 00:00:00",353,-129
"2017-01-05 00:00:00",415,-140
"2017-01-06 00:00:00",292,-113
"2017-01-07 00:00:00",321,-103
"2017-01-08 00:00:00",322,-92
"2017-01-09 00:00:00",290,-85
"2017-01-10 00:00:00",288,-79
"2017-01-11 00:00:00",321,-72
"2017-01-12 00:00:00",250,-73
"2017-01-13 00:00:00",296,-105
"2017-01-14 00:00:00",300,-77
"2017-01-15 00:00:00",323,-59
"2017-01-16 00:00:00",346,-97
"2017-01-17 00:00:00",253,-58
"2017-01-18 00:00:00",254,-59
"2017-01-19 00:00:00",314,-71
"2017-01-20 00:00:00",240,-51
"2017-01-21 00:00:00",279,-58
"2017-01-22 00:00:00",304,-73
"2017-01-23 00:00:00",291,-44
"2017-01-24 00:00:00",306,-54
"2017-01-25 00:00:00",217,-54
"2017-01-26 00:00:00",245,-52
"2017-01-27 00:00:00",278,-28
"2017-01-28 00:00:00",438,-74
"2017-01-29 00:00:00",384,-78
"2017-01-30 00:00:00",385,-70
"2017-01-31 00:00:00",341,-61
"2017-02-01 00:00:00",194,
"2017-02-02 00:00:00",281,-61
"2017-02-03 00:00:00",377,-46
"2017-02-04 00:00:00",377,-44
"2017-02-05 00:00:00",381,-69
"2017-02-06 00:00:00",342,-75
"2017-02-07 00:00:00",304,-55
"2017-02-08 00:00:00",296,-31
"2017-02-09 00:00:00",328,-52
"2017-02-10 00:00:00",342,-49
"2017-02-11 00:00:00",289,-69
"2017-02-12 00:00:00",339,-64
"2017-02-13 00:00:00",302,-62
"2017-02-14 00:00:00",240,-47
"2017-02-15 00:00:00",273,-46
"2017-02-16 00:00:00",352,-55
"2017-02-17 00:00:00",276,-59
"2017-02-18 00:00:00",365,-40
"2017-02-19 00:00:00",411,-55
"2017-02-20 00:00:00",313,-54
"2017-02-21 00:00:00",284,-66
"2017-02-22 00:00:00",237,-60
"2017-02-23 00:00:00",329,-66
"2017-02-24 00:00:00",294,-47
"2017-02-25 00:00:00",293,-50
"2017-02-26 00:00:00",267,-81
"2017-02-27 00:00:00",369,-71
"2017-02-28 00:00:00",294,-54
"2017-03-01 00:00:00",261,-65
"2017-03-02 00:00:00",307,-18
"2017-03-03 00:00:00",232,-58
"2017-03-04 00:00:00",280,-39
"2017-03-05 00:00:00",366,-68
"2017-03-06 00:00:00",287,-83
"2017-03-07 00:00:00",265,-74
"2017-03-08 00:00:00",274,-57
"2017-03-09 00:00:00",252,-75
"2017-03-10 00:00:00",259,-41
"2017-03-11 00:00:00",260,-65
"2017-03-12 00:00:00",352,-62
"2017-03-13 00:00:00",291,-51
"2017-03-14 00:00:00",268,-42
"2017-03-15 00:00:00",274,-59
"2017-03-16 00:00:00",296,-70
"2017-03-17 00:00:00",400,-43
"2017-03-18 00:00:00",312,-56
"2017-03-19 00:00:00",375,-83
"2017-03-20 00:00:00",350,-58
"2017-03-21 00:00:00",280,-37
"2017-03-22 00:00:00",335,-33
"2017-03-23 00:00:00",312,-43
"2017-03-24 00:00:00",256,-34
"2017-03-25 00:00:00",332,-65
"2017-03-26 00:00:00",285,-53
"2017-03-27 00:00:00",344,-50
"2017-03-28 00:00:00",307,-47
"2017-03-29 00:00:00",301,-45
"2017-03-30 00:00:00",322,-52
"2017-03-31 00:00:00",302,-50
"2017-04-01 00:00:00",304,-65
"2017-04-02 00:00:00",304,-50
"2017-04-03 00:00:00",295,-59
"2017-04-04 00:00:00",231,-38
"2017-04-05 00:00:00",277,-46
"2017-04-06 00:00:00",304,-48
"2017-04-07 00:00:00",307,-44
"2017-04-08 00:00:00",228,-42
"2017-04-09 00:00:00",268,-38
"2017-04-10 00:00:00",281,-42
"2017-04-11 00:00:00",252,-45
"2017-04-12 00:00:00",224,-55
"2017-04-13 00:00:00",281,-70
"2017-04-14 00:00:00",284,-59
"2017-04-15 00:00:00",274,-45
"2017-04-16 00:00:00",307,-63
"2017-04-17 00:00:00",268,-46
"2017-04-18 00:00:00",223,-42
"2017-04-19 00:00:00",241,-37
"2017-04-20 00:00:00",264,-48
"2017-04-21 00:00:00",252,-57
"2017-04-22 00:00:00",341,-57
"2017-04-23 00:00:00",323,-60
"2017-04-24 00:00:00",314,-48
"2017-04-25 00:00:00",285,-35
"2017-04-26 00:00:00",244,-29
"2017-04-27 00:00:00",260,-29
"2017-04-28 00:00:00",219,-51
"2017-04-29 00:00:00",201,-38
"2017-04-30 00:00:00",236,-35
"2017-05-01 00:00:00",250,-46
"2017-05-02 00:00:00",294,-48
"2017-05-03 00:00:00",282,-54
"2017-05-04 00:00:00",296,-44
"2017-05-05 00:00:00",245,-30
"2017-05-06 00:00:00",536,-51
"2017-05-07 00:00:00",478,-55
"2017-05-08 00:00:00",369,-61
"2017-05-09 00:00:00",361,-46
"2017-05-10 00:00:00",409,-55
"2017-05-11 00:00:00",359,-45
